tahun,bulan,kode_kelompok,nama_kelompok,kode_komoditi,nama_komoditi,kalori_kap_perhari,protein_kap_perhari,lemak_kap_perhari
1993,3,07,Daging,0707,"Daging Bebek",0.001644421653808219,0.000278836715210959,0.000025023807775342
1993,3,07,Daging,0708,"Daging Angsa",0.005743168995890410,0.000590725953863014,0.000360999194027397
1993,3,07,Daging,0709,"Daging Ayam Ras",0.000130100356931506,0.000022503845523288,0.000001758112931507
1993,3,07,Daging,0710,"Daging Babi",0.002383561643835616,0.000495890410958904,0.000027397260273973
1993,3,08,Telur,0801,"Telur Ayam",0.001090030030273971,0.000088608892783562,0.000074543989167123
1993,3,08,Telur,0802,"Telur Bebek",0.009513588745068493,0.000683949893564384,0.000719947256383562
1993,3,08,Telur,0803,"Telur Puyuh",0.002453739649369862,0.000203442970928767,0.000173935975145205
1993,3,09,Susu,0901,"Susu Segar",0.003029668155178082,0.000158933411419178,0.000163900080526027
1993,3,09,Susu,0902,"Susu UHT",0.032482895018520544,0.001722379312473972,0.001748575195553424
1993,3,10,Ikan,1001,"Ikan Lele",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,3,10,Ikan,1002,"Ikan Kakap",0.061389788286904102,0.000000000000000000,0.006944546186301369
1993,3,10,Ikan,1004,"Ikan Tuna",0.185334993770630134,0.000000000000000000,0.020965497032876712
1993,3,10,Ikan,1005,Udang,0.001036114554301367,0.000000000000000000,0.000117207528767123
1993,3,10,Ikan,1006,Cumi-cumi,0.000129514307178079,0.000000000000000000,0.000014650939726027
1993,3,10,Ikan,1007,"Ikan Nila",0.000210094495315063,0.000000058603764384,0.000023441505753424
1993,3,10,Ikan,1009,"Ikan Tongkol",0.001942714801424656,0.000000000000000000,0.000219764117808219
1993,4,01,"Padi - Padian",0102,Beras,1.486044978381369860,0.028069738480536986,0.002889531902408219
1993,4,01,"Padi - Padian",0103,Jagung,0.289411764699999999,0.007453344077205479,0.003726672038602740
1993,4,01,"Padi - Padian",0104,"Jagung Basah",0.003699069664438356,0.000134861914849315,0.000046238370805479
1993,4,01,"Padi - Padian",0106,"Tepung Gandum",0.103405757817753424,0.002926042048139726,0.000340898102695890
1993,4,02,"Makanan berpati",0201,"Ubi Jalar",0.023057651452493151,0.000428979561906849,0.000026811222619178
1993,4,02,"Makanan berpati",0202,"Ubi Kayu",0.234415061163835616,0.002051131785183562,0.000439528239682192
